verb,agency,power
coaxes,agency_pos,power_equal
coils,agency_pos,power_agent
collapses,agency_pos,power_agent
collects,agency_pos,power_theme
collides,agency_pos,
collides with,agency_pos,power_agent
colors,agency_pos,power_equal
combines,agency_pos,power_agent
combs,agency_pos,power_agent
comes,agency_pos,
comforts,agency_pos,power_agent
commands,agency_pos,power_agent
commemorates,agency_pos,power_theme
commences,agency_pos,power_agent
comments,agency_pos,power_equal
commissions,agency_pos,power_agent
commits,agency_pos,power_agent
communicates,agency_equal,power_agent
compares,agency_equal,power_equal
compels,agency_pos,power_agent
compensates,agency_pos,power_theme
competes,agency_pos,
compiles,agency_pos,power_theme
complains,agency_pos,
completes,agency_pos,power_equal
complicates,agency_pos,power_equal
complies,agency_pos,
composes,agency_pos,power_agent
comprehends,agency_pos,power_theme
compromises,agency_pos,power_equal
conceals,agency_pos,power_equal
concedes,agency_pos,power_theme
conceives,agency_pos,power_agent
concentrates,agency_equal,power_theme
concentrates on,agency_pos,power_theme
concerns,agency_equal,power_equal
concludes,agency_pos,power_agent
condemns,agency_pos,power_agent
conducts,agency_pos,power_agent
confers,agency_pos,power_equal
confesses,agency_pos,power_equal
confines,agency_pos,power_agent
confirms,agency_pos,power_equal
confiscates,agency_pos,power_agent
confronts,agency_pos,power_equal
confuses,agency_pos,power_agent
congratulates,agency_equal,power_theme
connects,agency_pos,power_agent
conquers,agency_pos,power_agent
considers,agency_neg,power_equal
consists of,agency_neg,power_theme
consoles,agency_pos,power_equal
constitutes,agency_neg,power_theme
constructs,agency_pos,power_agent
consults,agency_pos,power_theme
consumes,agency_pos,power_agent
contacts,agency_pos,power_equal
contains,agency_pos,power_agent
contaminates,agency_equal,power_agent
contemplates,agency_neg,power_equal
contests,agency_pos,power_agent
continues,agency_pos,power_equal
contorts,agency_pos,power_agent
contracts,agency_pos,power_theme
contradicts,agency_pos,power_agent
contrasts,agency_pos,power_equal
contributes,agency_pos,power_theme
controls,agency_pos,power_agent
convenes,agency_pos,power_agent
converges,agency_equal,
converses,agency_pos,
converts,agency_pos,power_agent
conveys,agency_pos,power_agent
convicts,agency_pos,power_agent
convinces,agency_pos,power_agent
convulses,agency_pos,power_agent
cooks,agency_pos,power_equal
cools,agency_neg,power_equal
cooperates,agency_equal,
coordinates,agency_pos,power_agent
copies,agency_pos,power_theme
cops,agency_pos,power_agent
corners,agency_pos,power_agent
corrects,agency_pos,power_agent
corresponds,agency_neg,
corresponds with,agency_equal,power_equal
costs,agency_pos,power_agent
coughs,agency_equal,
counters,agency_pos,power_agent
counts,agency_equal,power_equal
courses,agency_equal,
courts,agency_equal,power_equal
covers,agency_pos,power_agent
cowers,agency_neg,
crackles,agency_pos,power_agent
cracks,agency_pos,power_agent
cradles,agency_pos,power_agent
crams,agency_pos,power_theme
cranes,agency_pos,power_equal
cranks,agency_pos,power_agent
crashes,agency_pos,power_agent
crawls,agency_pos,
creaks,agency_equal,
creates,agency_pos,power_agent
credits,agency_pos,power_theme
creeps,agency_equal,
crests,agency_equal,
cries,agency_equal,
cringes,agency_neg,
criticizes,agency_pos,power_agent
crops,agency_pos,power_agent
crosses,agency_pos,power_agent
crosses out,agency_pos,power_agent
crouches,agency_neg,
crowds,agency_pos,power_agent
crows,agency_pos,
crucifies,agency_pos,power_agent
cruises,agency_pos,
crumbles,agency_neg,
crumples,agency_pos,
crunches,agency_pos,power_agent
crushes,agency_pos,power_agent
cuddles,agency_equal,
cuffs,agency_pos,power_agent
cultivates,agency_pos,power_agent
cups,agency_pos,power_agent
cures,agency_pos,power_agent
curls,agency_pos,power_agent
curses,agency_equal,power_agent
curtains,agency_pos,power_equal
curves,agency_neg,
cuts,agency_pos,power_agent
dabs,agency_pos,power_equal
damages,agency_pos,power_agent
dances,agency_pos,
dangles,agency_pos,power_agent
dares,agency_pos,power_agent
darkens,agency_equal,power_equal
darts,agency_pos,
dashes,agency_pos,
dates,agency_pos,power_equal
dawns,agency_neg,
dazzles,agency_pos,power_agent
deafens,agency_pos,power_agent
deals,agency_pos,power_agent
debates,agency_pos,power_equal
decapitates,agency_pos,power_agent
decays,agency_neg,
decides,agency_pos,power_agent
decks,agency_pos,power_equal
declares,agency_pos,power_equal
declines,agency_pos,power_agent
decorates,agency_pos,power_equal
decreases,agency_pos,power_agent
dedicates,agency_pos,power_equal
deems,agency_pos,power_agent
deepens,agency_pos,power_equal
defeats,agency_pos,power_agent
defends,agency_pos,power_agent
defers,agency_equal,power_theme
defers to,agency_neg,power_theme
defies,agency_pos,power_agent
defines,agency_pos,power_equal
deflates,agency_pos,power_agent
deflects,agency_pos,power_agent
delays,agency_pos,power_agent
delights,agency_pos,power_theme
delivers,agency_pos,power_agent
demands,agency_pos,power_agent
demolishes,agency_pos,power_agent
demonstrates,agency_pos,power_agent
denies,agency_pos,power_agent
denounces,agency_pos,power_agent
dents,agency_pos,power_agent
departs,agency_pos,power_theme
depends,agency_neg,
depends on,agency_neg,power_theme
depicts,agency_pos,power_agent
deploys,agency_pos,power_agent
deposes,agency_pos,power_agent
deposits,agency_pos,power_agent
depresses,agency_equal,power_agent
deprives,agency_pos,power_agent
derives,agency_pos,power_equal
descends,agency_pos,
describes,agency_pos,power_equal
deserts,agency_pos,power_agent
deserves,agency_neg,power_equal
designates,agency_pos,power_agent
designs,agency_pos,power_agent
desires,agency_neg,power_theme
despises,agency_pos,power_equal
destroys,agency_pos,power_agent
detaches,agency_pos,power_agent
detains,agency_pos,power_agent
detects,agency_pos,power_theme
determines,agency_pos,power_agent
deters,agency_pos,power_agent
detonates,agency_pos,power_agent
devastates,agency_pos,power_agent
develops,agency_pos,power_agent
devises,agency_pos,power_agent
devotes,agency_pos,power_equal
devours,agency_pos,
diagnoses,agency_pos,power_agent
dials,agency_pos,power_agent
dictates,agency_pos,power_agent
dies,agency_neg,
digests,agency_pos,power_agent
digs,agency_pos,power_agent
diminishes,agency_pos,power_agent
dims,agency_pos,power_agent
dips,agency_pos,power_agent
directs,agency_pos,power_agent
disagrees,agency_pos,
disappears,agency_pos,
disappoints,agency_pos,power_theme
disapproves of,agency_equal,power_agent
disarms,agency_pos,power_agent
disbelieves,agency_pos,power_agent
discards,agency_pos,power_agent
discharges,agency_pos,power_agent
discloses,agency_pos,power_equal
disconnects,agency_pos,power_agent
discourages,agency_pos,power_agent
discovers,agency_pos,power_agent
discusses,agency_pos,power_equal
disengages,agency_pos,power_agent
disguises,agency_pos,power_agent
disgusts,agency_neg,power_equal
dishevels,agency_pos,power_agent
disintegrates,agency_pos,power_agent
dislodges,agency_pos,power_agent
dismantles,agency_pos,power_agent
dismisses,agency_pos,power_agent
dismounts,agency_pos,
disorients,agency_pos,power_agent
dispatches,agency_pos,power_agent
dispenses,agency_pos,power_agent
disperses,agency_pos,power_agent
displaces,agency_pos,power_agent
displays,agency_equal,power_agent
disposes,agency_pos,power_agent
disputes,agency_pos,power_agent
disrupts,agency_pos,power_agent
dissipates,agency_pos,power_agent
dissolves,agency_pos,power_agent
distinguishes,agency_pos,power_agent
distorts,agency_pos,power_agent
distracts,agency_pos,power_agent
distributes,agency_pos,power_agent
disturbs,agency_pos,power_equal
ditches,agency_pos,power_agent
diverts,agency_pos,power_agent
dives,agency_pos,
divides,agency_pos,power_agent
divorces,agency_pos,power_agent
docks,agency_pos,power_agent
documents,agency_pos,power_equal
dodges,agency_pos,power_agent
does,agency_pos,power_agent
dogs,agency_equal,power_agent
dominates,agency_pos,power_agent
donates,agency_pos,power_theme
dons,agency_pos,power_agent
dooms,agency_pos,power_agent
dots,agency_pos,power_agent
doubles,agency_pos,power_agent
doubts,agency_neg,power_agent
douses,agency_pos,power_agent
downs,agency_pos,power_agent
dozes,agency_neg,
drafts,agency_pos,power_agent
drags,agency_pos,power_agent
drains,agency_pos,power_agent
drapes,agency_pos,power_agent
draws,agency_pos,power_agent
dreads,agency_neg,power_theme
dreams,agency_neg,power_theme
drenches,agency_pos,power_agent
dresses,agency_pos,power_agent
dribbles,agency_pos,power_agent
dries,agency_pos,power_agent
drifts,agency_equal,
drills,agency_pos,power_agent
drinks,agency_pos,power_agent
drips,agency_pos,power_equal
drives,agency_pos,power_agent
drools,agency_neg,
droops,agency_neg,
drops,agency_pos,power_agent
drowns,agency_pos,power_agent
drugs,agency_pos,power_agent
drums,agency_pos,
ducks,agency_pos,power_theme
dumps,agency_pos,power_agent
dusts,agency_pos,power_agent
dwarfs,agency_neg,power_agent
dwells,agency_equal,power_theme
earns,agency_pos,power_equal
eases,agency_pos,power_equal
eats,agency_pos,power_agent
echoes,,power_theme
echos,agency_equal,
edges,agency_pos,power_agent
edits,agency_pos,power_agent
educates,agency_pos,power_agent
ejects,agency_pos,power_agent
elaborates,agency_pos,power_theme
elbows,agency_pos,power_agent
elects,agency_pos,power_agent
elevates,agency_pos,power_equal
eliminates,agency_pos,power_agent
emanates,agency_pos,power_agent
embarrasses,agency_pos,power_equal
embeds,agency_pos,power_equal
emblazons,agency_pos,power_agent
embraces,agency_pos,power_agent
embroiders,agency_pos,power_agent
emerges,agency_pos,
emits,agency_pos,power_theme
emphasizes,agency_pos,power_agent
employs,agency_pos,power_agent
empties,agency_pos,power_agent
enables,agency_pos,power_agent
enacts,agency_pos,power_equal
encases,agency_pos,power_agent
encircles,agency_pos,power_agent
encloses,agency_equal,power_agent
encounters,agency_neg,power_equal
encourages,agency_pos,power_agent
endangers,agency_equal,power_equal
endorses,agency_pos,power_equal
ends,agency_pos,power_agent
endures,agency_neg,power_theme
enforces,agency_pos,power_theme
engages,agency_pos,power_agent
engraves,agency_pos,power_agent
engrosses,agency_pos,power_agent
engulfs,agency_pos,power_agent
enhances,agency_pos,power_agent
enjoys,agency_neg,power_theme
enlists,agency_pos,power_agent
enrages,agency_pos,power_agent
enriches,agency_pos,power_agent
ensures,agency_pos,power_agent
enters,agency_pos,power_agent
entertains,agency_pos,power_theme
entitles,agency_equal,power_agent
envelops,agency_pos,power_agent
envies,agency_equal,power_theme
envisions,agency_equal,power_agent
equips,agency_pos,power_agent
erases,agency_pos,power_agent
erects,agency_pos,power_agent
erodes,agency_pos,power_agent
erupts,agency_pos,
escalates,agency_pos,power_agent
escapes,agency_pos,power_equal
escorts,agency_pos,power_agent
establishes,agency_pos,power_agent
estimates,agency_neg,power_equal
etches,agency_pos,power_agent
evacuates,agency_pos,power_agent
evades,agency_pos,power_theme
evaluates,agency_pos,power_agent
evolves,agency_pos,
exaggerates,agency_pos,power_equal
examines,agency_equal,power_agent
exasperates,agency_pos,power_agent
exceeds,agency_pos,power_agent
exchanges,agency_pos,power_agent
excites,agency_pos,power_equal
excludes,agency_pos,power_agent
excuses,agency_equal,power_agent
executes,agency_pos,power_agent
exercises,agency_pos,power_agent
exerts,agency_pos,power_agent
exhales,agency_pos,power_agent
exhausts,agency_pos,power_agent
exists,agency_neg,
exits,agency_pos,power_equal
expands,agency_pos,power_agent
expects,agency_neg,power_agent
expels,agency_pos,power_agent
experiences,agency_neg,power_theme
explains,agency_pos,power_theme
explodes,agency_pos,
exploits,agency_pos,power_agent
explores,agency_pos,power_agent
exposes,agency_pos,power_agent
expresses,agency_equal,power_agent
extends,agency_pos,power_agent
extinguishes,agency_pos,power_agent
extracts,agency_pos,power_agent
eyeballs,agency_pos,power_theme
eyes,agency_equal,power_agent
faces,agency_neg,power_equal
fades,agency_neg,
fails,agency_neg,power_agent
faints,agency_neg,
fakes,agency_pos,power_equal
fakes out,agency_pos,power_agent
falls,agency_pos,
falters,agency_neg,
fancies,agency_neg,power_theme
fans,agency_pos,power_theme
farts,agency_neg,
fascinates,agency_neg,power_agent
fashions,agency_pos,power_agent
fastens,agency_pos,power_agent
fasts,agency_pos,
favors,agency_pos,power_equal
fears,agency_neg,power_theme
features,agency_neg,power_agent
feeds,agency_pos,power_agent
feels,agency_equal,power_equal
fees,agency_equal,power_agent
feigns,agency_pos,power_equal
fences,agency_pos,power_agent
fends off,agency_pos,power_equal
fetches,agency_pos,power_agent
fiddles,agency_equal,
fidgets,agency_equal,
fights,agency_pos,power_equal
figures,agency_pos,power_equal
files,agency_pos,power_equal
fills,agency_pos,power_theme
films,agency_pos,power_equal
filters,agency_pos,power_agent
finances,agency_pos,power_agent
finds,agency_equal,power_equal
fingers,agency_pos,power_agent
finishes,agency_pos,power_equal
fires,agency_pos,power_agent
fires at,agency_pos,power_agent
fishes for,agency_pos,power_theme
fishtails,agency_equal,power_agent
fits,agency_pos,power_agent
fixates on,agency_neg,power_theme
fixes,agency_pos,power_agent
flags,agency_pos,power_agent
flails,agency_equal,
flames,agency_pos,
flanks,agency_pos,power_equal
flaps,agency_neg,
flares,agency_pos,
flashes,agency_equal,
flattens,agency_pos,power_agent
flees,agency_pos,
flexes,agency_pos,power_agent
flickers,agency_equal,
flicks,agency_pos,power_agent
flies,agency_pos,
flinches,agency_neg,
flings,agency_pos,power_agent
flips,agency_pos,
flirts,agency_pos,
floats,agency_neg,
floods,agency_pos,power_agent
floors,agency_pos,power_equal
flops,agency_pos,
flows,agency_neg,
flushes,agency_pos,power_agent
flutters,agency_pos,
focuses,agency_pos,
focuses on,agency_equal,power_theme
folds,agency_pos,power_agent
follows,agency_neg,power_theme
fondles,agency_pos,power_agent
fools,agency_pos,power_agent
forbids,agency_pos,power_agent
forces,agency_pos,power_agent
forges,agency_pos,power_agent
forgets,agency_neg,power_agent
forgives,agency_pos,power_agent
forms,agency_pos,power_agent
fosters,agency_equal,power_agent
founds,agency_pos,power_agent
frames,agency_pos,power_equal
freaks out,agency_equal,
frees,agency_pos,power_agent
freezes,agency_pos,power_agent
fries,agency_pos,power_agent
frightens,agency_pos,power_agent
frisks,agency_pos,power_agent
fronts,agency_pos,power_agent
frowns,agency_pos,
frustrates,agency_pos,power_equal
fuels,agency_equal,power_agent
fulfills,agency_pos,power_equal
fulfils,agency_pos,power_theme
fumbles,agency_equal,
fumes,agency_pos,
functions,agency_pos,
furnishes,agency_pos,power_agent
furrows,agency_equal,power_agent
fusses over,agency_pos,power_theme
gags,agency_pos,power_agent
gags on,agency_neg,power_agent
gains,agency_pos,power_agent
gallops,agency_pos,
gambles,agency_pos,
gaps,agency_pos,power_agent
gasps,agency_equal,
gathers,agency_pos,power_agent
gauges,agency_pos,power_equal
gawks,agency_equal,
gazes,agency_equal,
generates,agency_pos,power_agent
gestures,agency_equal,power_agent
gets,agency_pos,power_agent
giggles,agency_pos,
gives,agency_pos,power_agent
glances,agency_neg,
glares,agency_pos,
glazes,agency_pos,power_agent
gleams,agency_neg,
glides,agency_equal,
glimpses,agency_neg,power_agent
glints,agency_equal,
glistens,agency_neg,
glitters,agency_neg,
glowers,agency_equal,
glows,agency_neg,
glues,agency_pos,power_agent
gnaws,agency_pos,power_agent
goes,,power_equal
gos,agency_equal,
gouges,agency_pos,power_agent
governs,agency_pos,power_agent
grabs,agency_pos,power_agent
graduates,agency_pos,
grants,agency_pos,power_agent
grapples with,agency_pos,power_equal
grasps,agency_equal,power_agent
grazes,agency_pos,power_agent
greets,agency_equal,power_theme
grieves,agency_neg,power_theme
grills,agency_pos,power_agent
grimaces,agency_neg,
grinds,agency_pos,power_agent
grins,agency_pos,
grips,agency_pos,power_agent
grits,agency_pos,power_agent
groans,agency_pos,
grooms,agency_pos,power_agent
gropes,agency_pos,power_agent
grounds,agency_pos,power_agent
groups,agency_pos,power_agent
growls,agency_pos,
grows,agency_pos,
grumbles,agency_pos,
grunts,agency_pos,
guarantees,agency_pos,power_agent
guards,agency_pos,power_theme
guesses,agency_neg,power_equal
guides,agency_pos,power_agent
gulps,agency_pos,power_agent
gushes,agency_equal,
gyrates,agency_pos,
hacks,agency_pos,power_agent
hails,agency_pos,power_theme
halts,agency_pos,power_agent
hammers,agency_pos,power_agent
hampers,agency_pos,power_agent
handcuffs,agency_pos,power_agent
handles,agency_pos,power_agent
hands,agency_pos,power_agent
hangs,agency_pos,power_agent
happens,agency_neg,
harasses,agency_pos,power_agent
hardens,agency_pos,power_equal
harms,agency_pos,power_agent
hates,agency_neg,power_theme
hauls,agency_pos,power_equal
haunts,agency_neg,power_agent
haves,agency_neg,power_agent
heads,agency_pos,
heals,agency_pos,power_agent
heaps,agency_pos,power_agent
hears,agency_neg,power_theme
heats,agency_pos,power_agent
heaves,agency_pos,power_agent
hefts,agency_pos,power_agent
heightens,agency_pos,power_agent
helps,agency_pos,power_equal
herds,agency_pos,power_agent
hesitates,agency_neg,
hides,agency_pos,power_agent
highlights,agency_pos,power_equal
hikes,agency_equal,power_equal
hires,agency_pos,power_agent
hisses,agency_pos,
hitches,agency_pos,power_agent
hits,agency_pos,power_agent
hobbles,agency_pos,
hoists,agency_pos,power_equal
holds,agency_pos,power_agent
hollers,agency_pos,power_agent
honks,agency_pos,
honors,agency_pos,power_theme
hooks,agency_pos,power_agent
hopes,agency_equal,power_theme
hops,agency_pos,
horrifies,agency_equal,power_agent
houses,agency_pos,power_agent
hovers,agency_pos,
howls,agency_pos,
huddles,agency_pos,
huffs,agency_pos,
hugs,agency_pos,power_agent
humiliates,agency_pos,power_agent
hums,agency_pos,power_agent
hunches,agency_neg,
hunts,agency_pos,power_agent
hurls,agency_pos,power_agent
hurries,agency_pos,power_agent
hurtles,agency_pos,power_agent
hurts,agency_pos,power_agent
hushes,agency_pos,power_agent
hustles,agency_pos,power_agent
hyperventilates,agency_equal,power_agent
hypnotizes,agency_pos,power_agent
ices,agency_pos,power_agent
identifies,agency_pos,power_agent
idles,agency_neg,
ignites,agency_pos,power_agent
ignores,agency_pos,power_agent
illuminates,agency_pos,power_equal
illustrates,agency_pos,power_equal
imagines,agency_equal,power_equal
imitates,agency_equal,power_theme
immerses,agency_pos,power_agent
immobilizes,agency_pos,power_agent
impales,agency_pos,power_agent
implements,agency_pos,power_agent
implies,agency_neg,power_agent
implores,agency_pos,power_theme
imposes,agency_pos,power_agent
impresses,agency_neg,power_equal
improves,agency_pos,power_agent
improvises,agency_pos,
inches,agency_equal,
includes,agency_pos,power_agent
incorporates,agency_pos,power_theme
increases,agency_pos,power_agent
indicates,agency_pos,power_equal
induces,agency_pos,power_agent
indulges,agency_equal,power_theme
infects,agency_pos,power_equal
inflicts,agency_pos,power_agent
influences,agency_pos,power_agent
informs,agency_pos,power_agent
inhales,agency_equal,power_agent
inherits,agency_neg,power_agent
initiates,agency_pos,power_agent
injects,agency_pos,power_agent
injures,agency_pos,power_agent
inserts,agency_pos,power_agent
insists,agency_pos,power_agent
insists on,agency_pos,power_agent
inspects,agency_pos,power_agent
inspires,agency_pos,power_agent
installs,agency_pos,power_agent
instals,agency_pos,power_agent
instructs,agency_pos,power_agent
insults,agency_pos,power_agent
